FamilyID,Change,Species,Trend,Pvalue,Significance
OG0007032,-1,CBAT,Contraction,0.727,n
OG0007032,1,CMAC,Expansion,0.727,n
OG0007033,1,PHYP,Expansion,0.729,n
OG0007033,2,SMER,Expansion,0.729,n
OG0007034,-1,CFUS,Contraction,0.363,n
OG0007034,-1,BYAR,Contraction,0.363,n
OG0007034,1,SMER,Expansion,0.363,n
OG0007034,1,CBAT,Expansion,0.363,n
OG0007034,1,CGAR,Expansion,0.363,n
OG0007035,1,PHYP,Expansion,0.952,n
OG0007037,2,SMER,Expansion,0.975,n
OG0007037,-1,CBAT,Contraction,0.975,n
OG0007038,-1,BYAR,Contraction,0.444,n
OG0007038,-1,CFUS,Contraction,0.444,n
OG0007038,1,CGAR,Expansion,0.444,n
OG0007038,1,CMAC,Expansion,0.444,n
OG0007039,1,SMER,Expansion,0.999,n
OG0007041,1,IPUN,Expansion,0.965,n
OG0007043,-1,CFUS,Contraction,0.83,n
OG0007043,1,TFUL,Expansion,0.83,n
OG0007045,2,CGAR,Expansion,0.589,n
OG0007045,-1,CMAC,Contraction,0.589,n
OG0007046,1,SMER,Expansion,0.999,n
OG0007048,-1,CMAG,Contraction,0.936,n
OG0007049,-1,CFUS,Contraction,0.585,n
OG0007049,1,SMER,Expansion,0.585,n
OG0007049,-1,CMAC,Contraction,0.585,n
OG0007049,1,TFUL,Expansion,0.585,n
OG0007050,-1,CFUS,Contraction,0.53,n
OG0007050,-1,CGAR,Contraction,0.53,n
OG0007050,1,IPUN,Expansion,0.53,n
OG0007051,-1,CFUS,Contraction,0.549,n
OG0007051,1,TFUL,Expansion,0.549,n
OG0007051,1,PHYP,Expansion,0.549,n
OG0007052,1,SMER,Expansion,0.527,n
OG0007052,-1,CFUS,Contraction,0.527,n
